"x"
"Zeugopterus punctatus"
"Chelidonichthys lucerna"
"Eutrigla gurnardus"
"Thymallus thymallus"
"Hyporthodus haifensis"
"Mullus surmuletus"
"Myoxocephalus quadricornis"
"Myoxocephalus scorpius"
"Triglops murrayi"
"Micrenophrys lilljeborgii"
"Ameiurus melas"
"Aphanopus carbo"
"Pagellus acarne"
"Cottunculus microps"
"Scomber scombrus"
"Schedophilus medusophagus"
"Anguilla anguilla"
"Capros aper"
"Salvelinus alpinus"
"Salvelinus namaycush"
"Serrivomer beanii"
"Salvelinus fontinalis"
"Oncorhynchus gorbuscha"
"Ctenolabrus rupestris"
"Gymnocephalus cernua"
"Perca flavescens"
"Pomatoschistus microps"
"Ciliata septentrionalis"
"Ciliata mustela"
"Merluccius merluccius"
"Acantholabrus palloni"
"Anoplogaster cornuta"
"Labrus mixtus"
"Labrus bergylta"
"Gobiusculus flavescens"
"Pomatoschistus minutus"
"Macroramphosus scolopax"
"Pagellus erythrinus"
"Melanogrammus aeglefinus"
"Lota lota"
"Trachurus trachurus"
"Micromesistius poutassou"
"Enchelyopus cimbrius"
"Spondyliosoma cantharus"
"Coregonus lavaretus"
"Coregonus albula"
"Coregonus maraena"
"Coregonus peled"
"Poecilia sphenops"
"Echiodon drummondii"
"Molva dypterygia"
"Neoscopelus microchir"
"Argentina silus"
"Ameiurus catus"
"Protomyctophum arcticum"
"Benthosema glaciale"
"Canthidermis maculata"
"Arnoglossus laterna"
"Balistes capriscus"
"Pagellus bogaraveo"
"Beryx decadactylus"
"Carassius gibelio"
"Lampanyctus macdonaldi"
"Lampris guttatus"
NA
"Chelon labrosus"
"Chelon ramada"
"Trachyrincus murrayi"
"Argentina sphyraena"
"Chelon bandialensis"
"Chelon auratus"
"Chelon dumerili"
"Clupea harengus"
"Xenodermichthys copei"
"Sprattus sprattus"
"Notacanthus bonaparte"
"Nerophis ophidion"
"Engraulis encrasicolus"
"Cobitis taenia"
"Alosa alosa"
"Alosa fallax"
"Carassius auratus"
"Carassius carassius"
"Diastobranchus capensis"
"Echiichthys vipera"
"Ilyophis brunneus"
"Howella brodiei"
"Squalius cephalus"
"Leucaspius delineatus"
"Rutilus rutilus"
"Alburnus alburnus"
"Blicca bjoerkna"
"Phoxinus phoxinus"
"Leuciscus idus"
"Leuciscus aspius"
"Trachinus draco"
"Chondrostoma nasus"
"Scardinius erythrophthalmus"
"Pelecus cultratus"
"Abramis brama"
"Rhodeus sericeus"
"Chlamydoselachus anguineus"
"Tinca tinca"
"Megalops atlanticus"
"Gobio gobio"
"Polyodon spathula"
"Acipenser stellatus"
"Dasyatis pastinaca"
"Torpedo marmorata"
"Heptranchias perlo"
"Acipenser ruthenus"
"Acipenser gueldenstaedtii"
"Acipenser oxyrinchus"
